id,file,name,file_size,content_type,owner_id,owner_type,created_at,updated_at
8,_WallpaperHD_Abstract_085.jpg,_WallpaperHD_Abstract_085.jpg,614031,image/jpeg,1,Product,2012-10-30 19:26:51.835733,2012-10-30 19:26:51.835733
9,10.jpg,10.jpg,241780,image/jpeg,1,Product,2012-10-30 19:26:51.843281,2012-10-30 19:26:51.843281
10,375747580.jpg,375747580.jpg,374635,image/jpeg,1,Product,2012-10-30 19:31:36.327588,2012-10-30 19:31:36.327588
14,square_Chinese-lantern_clocky_ncsa.jpg,square_Chinese-lantern_clocky_ncsa.jpg,247958,image/jpeg,3,Product,2012-10-30 19:32:15.996263,2012-10-30 19:33:19.976107
13,square_375747580.jpg,square_375747580.jpg,717114,image/jpeg,1,Product,2012-10-30 19:31:36.348651,2012-10-30 19:45:50.453328
12,square__WallpaperHD_Abstract_085.jpg,square__WallpaperHD_Abstract_085.jpg,310797,image/jpeg,1,Product,2012-10-30 19:31:36.342079,2012-10-30 19:45:50.462606
11,square_466281840.jpg,square_466281840.jpg,641612,image/jpeg,1,Product,2012-10-30 19:31:36.335568,2012-10-30 19:45:50.470486
